"Patient","No benefits","Responder","TIDE","IFNG","MSI Expr Sig","Merck18","CD274","CD8","CTL.flag","Dysfunction","Exclusion","MDSC","CAF","TAM M2"
"TCGA-86-8076-01","False","False","1.71","0.88","0.71","0.72","-0.30","1.70","True","1.71","-2.57","-0.16","-0.07","-0.01"
"TCGA-69-7765-01","False","False","1.68","0.12","0.33","0.08","-0.07","-0.20","False","-0.53","1.68","-0.03","0.23","-0.03"
"TCGA-55-6982-01","False","False","1.66","1.12","0.28","0.39","0.04","-0.39","False","0.26","1.66","-0.01","0.21","-0.04"
"TCGA-78-8660-01","False","False","1.65","1.04","0.45","0.97","0.82","0.91","True","1.65","-1.30","0.00","-0.12","-0.00"
"TCGA-78-7145-01","True","False","1.65","-1.10","0.60","-0.97","0.30","-1.98","False","-2.45","1.65","0.08","0.09","-0.03"
"TCGA-05-4434-01","False","False","1.63","1.70","0.76","1.26","1.67","0.52","True","1.63","-0.71","-0.03","0.03","-0.06"
"TCGA-78-7154-01","False","False","1.62","-0.28","0.24","-0.59","-1.12","-0.67","False","-1.99","1.62","0.15","-0.04","0.04"
"TCGA-62-8399-01","False","False","1.62","-0.58","0.18","-0.42","0.17","-0.18","False","-0.37","1.62","0.08","0.05","0.01"
"TCGA-78-8662-01","True","False","1.62","-1.44","0.58","-1.41","-1.72","-1.08","False","-2.31","1.62","0.12","-0.05","0.08"
"TCGA-69-7760-01","True","False","1.61","-1.85","0.15","-1.94","-1.44","-2.23","False","-2.23","1.61","0.13","0.02","0.00"
"TCGA-73-4676-01","True","False","1.59","-1.16","0.73","-0.77","1.10","-0.20","False","-2.59","1.59","0.10","0.01","0.03"
"TCGA-75-6214-01","False","False","1.57","-0.37","0.31","-0.71","0.16","-1.05","False","-1.34","1.57","0.16","-0.02","0.00"
"TCGA-50-8459-01","False","False","1.56","-0.85","0.20","-0.06","-1.02","-0.22","False","3.48","1.56","-0.11","0.28","-0.01"
"TCGA-44-7670-01","False","False","1.55","-0.48","0.12","-0.47","-0.13","0.69","False","-1.22","1.55","0.18","-0.05","0.01"
"TCGA-49-4505-01","False","False","1.55","0.93","0.52","0.58","0.52","0.89","True","1.55","-0.67","-0.07","0.04","-0.02"
"TCGA-55-A494-01","True","False","1.54","-3.15","0.35","-2.02","-2.07","-0.50","False","-1.37","1.54","0.14","-0.07","0.08"
"TCGA-L9-A443-01","False","False","1.52","0.10","0.23","-0.22","-0.14","0.30","False","-0.38","1.52","0.04","0.08","0.01"
"TCGA-73-4658-01","False","False","1.51","0.19","0.52","0.44","2.24","0.16","False","1.21","1.51","-0.07","0.22","-0.02"
"TCGA-55-A493-01","False","False","1.50","1.22","0.39","1.02","2.65","0.78","True","1.50","0.34","0.10","0.00","-0.07"
"TCGA-44-A479-01","False","False","1.49","1.59","0.23","1.10","0.57","1.23","True","1.49","-1.40","-0.07","-0.01","-0.04"
"TCGA-55-6983-01","False","False","1.49","-0.59","0.48","0.13","-0.80","0.69","True","1.49","0.40","-0.05","0.05","0.04"
"TCGA-38-4625-01","False","False","1.49","0.98","0.87","0.67","3.43","0.26","False","-1.64","1.49","0.15","0.01","-0.04"
"TCGA-78-7161-01","True","False","1.49","-1.53","0.12","-1.49","-1.84","-1.27","False","-0.86","1.49","0.07","0.06","0.02"
"TCGA-97-7554-01","False","False","1.45","-0.19","0.48","0.18","2.32","-0.06","False","0.37","1.45","-0.00","0.17","-0.03"
"TCGA-91-6836-01","False","False","1.43","-0.48","0.66","-0.37","1.58","-0.15","False","-2.56","1.43","0.18","-0.05","-0.02"
"TCGA-55-A48Z-01","False","False","1.43","0.89","0.26","0.50","0.95","0.21","False","0.63","1.43","0.06","0.11","-0.04"
"TCGA-L9-A8F4-01","False","False","1.42","0.73","0.23","0.70","-0.18","1.20","True","1.42","-0.91","-0.01","-0.07","0.00"
"TCGA-95-7944-01","False","False","1.39","1.82","0.51","1.44","0.97","2.08","True","1.39","-0.79","0.05","-0.03","-0.10"
"TCGA-38-4628-01","True","False","1.39","-1.82","0.67","-1.45","-1.32","0.07","False","-1.48","1.39","-0.01","0.06","0.07"
"TCGA-78-7146-01","False","False","1.39","0.35","0.57","-0.04","1.00","-0.20","False","-2.78","1.39","0.16","-0.01","-0.03"
"TCGA-55-6712-01","False","False","1.39","1.71","0.70","1.46","1.39","2.15","True","1.39","-0.71","-0.01","0.01","-0.06"
"TCGA-55-8204-01","False","False","1.38","0.47","0.39","-0.14","0.25","-0.30","False","0.19","1.38","0.08","0.07","-0.02"
"TCGA-44-8117-01","False","False","1.36","0.07","0.41","-0.32","0.48","-0.65","False","-1.04","1.36","0.04","0.06","0.03"
"TCGA-86-8278-01","False","False","1.34","0.35","0.64","0.10","0.31","-0.86","False","0.69","1.34","-0.00","0.15","-0.03"
"TCGA-93-7348-01","False","False","1.31","-0.53","0.30","-0.30","-0.84","-0.58","False","1.03","1.31","-0.02","0.15","0.01"
"TCGA-05-4402-01","False","False","1.29","0.00","0.50","-0.13","-0.56","-0.88","False","-0.01","1.29","0.02","0.09","0.00"
"TCGA-50-6594-01","True","False","1.28","-1.24","0.70","-0.35","4.41","-1.67","False","-1.49","1.28","0.09","0.02","0.02"
"TCGA-73-4675-01","True","False","1.28","-2.08","0.77","-1.28","-2.08","-1.32","False","0.48","1.28","-0.03","0.10","0.06"
